table,column,postgres_type,nullable,key_reference,rules_default,source_json_path,go_field_value,conversion_derivation,trace_class,go_models,writer_projector,source
fi.recorded_generation,canonical_sha256,bytea,No,—,`NOT NULL CHECK (octet_length(canonical_sha256) = 32)`,receipt.descriptor.canonical_sha256,transportgeneration.Descriptor.CanonicalSHA256,hex text → 32-byte `bytea` via `decodeHex()`,Direct JSON,"`generationrecorder.RecordedReceipt`, `transportgeneration.Descriptor`, `recordingest.PreparedGeneration`",`insertRecordedGeneration()` — `go/internal/recordingest/postgres_ingest.go`,Immutable recorder receipt JSON + receipt bytes
fi.recorded_generation,encoded_data_bytes,bigint,No,—,`NOT NULL CHECK (encoded_data_bytes > 0)`,receipt.descriptor.encoded_data_bytes,transportgeneration.Descriptor.EncodedDataBytes,`uint64` → `int64`,Direct JSON,"`generationrecorder.RecordedReceipt`, `transportgeneration.Descriptor`, `recordingest.PreparedGeneration`",`insertRecordedGeneration()` — `go/internal/recordingest/postgres_ingest.go`,Immutable recorder receipt JSON + receipt bytes
fi.recorded_generation,encoded_data_sha256,bytea,No,—,`NOT NULL CHECK (octet_length(encoded_data_sha256) = 32)`,receipt.descriptor.encoded_data_sha256,transportgeneration.Descriptor.EncodedDataSHA256,hex text → 32-byte `bytea` via `decodeHex()`,Direct JSON,"`generationrecorder.RecordedReceipt`, `transportgeneration.Descriptor`, `recordingest.PreparedGeneration`",`insertRecordedGeneration()` — `go/internal/recordingest/postgres_ingest.go`,Immutable recorder receipt JSON + receipt bytes
fi.recorded_generation,metadata_bytes,bigint,No,—,`NOT NULL CHECK (metadata_bytes > 0)`,receipt.metadata_bytes,generationrecorder.RecordedReceipt.MetadataBytes,`uint64` → `int64`,Direct JSON,"`generationrecorder.RecordedReceipt`, `transportgeneration.Descriptor`, `recordingest.PreparedGeneration`",`insertRecordedGeneration()` — `go/internal/recordingest/postgres_ingest.go`,Immutable recorder receipt JSON + receipt bytes
fi.recorded_generation,metadata_sha256,bytea,No,—,`NOT NULL CHECK (octet_length(metadata_sha256) = 32)`,receipt.metadata_sha256,generationrecorder.RecordedReceipt.MetadataSHA256,hex text → 32-byte `bytea` via `decodeHex()`,Direct JSON,"`generationrecorder.RecordedReceipt`, `transportgeneration.Descriptor`, `recordingest.PreparedGeneration`",`insertRecordedGeneration()` — `go/internal/recordingest/postgres_ingest.go`,Immutable recorder receipt JSON + receipt bytes
fi.recorded_generation,transfer_bytes,bigint,No,—,`NOT NULL CHECK (transfer_bytes > 0)`,receipt.transfer_bytes,generationrecorder.RecordedReceipt.TransferBytes,`uint64` → `int64`,Direct JSON,"`generationrecorder.RecordedReceipt`, `transportgeneration.Descriptor`, `recordingest.PreparedGeneration`",`insertRecordedGeneration()` — `go/internal/recordingest/postgres_ingest.go`,Immutable recorder receipt JSON + receipt bytes
fi.recorded_generation,transfer_sha256,bytea,No,UQ(transfer_sha256),`NOT NULL CHECK (octet_length(transfer_sha256) = 32)`,receipt.transfer_sha256,generationrecorder.RecordedReceipt.TransferSHA256,hex text → 32-byte `bytea` via `decodeHex()`,Direct JSON,"`generationrecorder.RecordedReceipt`, `transportgeneration.Descriptor`, `recordingest.PreparedGeneration`",`insertRecordedGeneration()` — `go/internal/recordingest/postgres_ingest.go`,Immutable recorder receipt JSON + receipt bytes
fi.recorded_generation,batch_count,bigint,No,—,`NOT NULL CHECK (batch_count > 0)`,receipt.batch_count,generationrecorder.RecordedReceipt.BatchCount,`uint64` → `int64`,Direct JSON,"`generationrecorder.RecordedReceipt`, `transportgeneration.Descriptor`, `recordingest.PreparedGeneration`",`insertRecordedGeneration()` — `go/internal/recordingest/postgres_ingest.go`,Immutable recorder receipt JSON + receipt bytes
fi.recorded_generation,data_bytes,bigint,No,—,`NOT NULL CHECK (data_bytes > 0)`,receipt.data_bytes,generationrecorder.RecordedReceipt.DataBytes,`uint64` → `int64`,Direct JSON,"`generationrecorder.RecordedReceipt`, `transportgeneration.Descriptor`, `recordingest.PreparedGeneration`",`insertRecordedGeneration()` — `go/internal/recordingest/postgres_ingest.go`,Immutable recorder receipt JSON + receipt bytes
fi.recorded_generation,record_count,bigint,No,—,`NOT NULL CHECK (record_count > 0)`,receipt.record_count,generationrecorder.RecordedReceipt.RecordCount,`uint64` → `int64`,Direct JSON,"`generationrecorder.RecordedReceipt`, `transportgeneration.Descriptor`, `recordingest.PreparedGeneration`",`insertRecordedGeneration()` — `go/internal/recordingest/postgres_ingest.go`,Immutable recorder receipt JSON + receipt bytes
fi.recorded_generation,receipt_bytes,bigint,No,—,`NOT NULL CHECK (receipt_bytes > 0)`,—,recordingest.PreparedGeneration.ReceiptBytes,measured from immutable receipt bytes during load,Derived,"`generationrecorder.RecordedReceipt`, `transportgeneration.Descriptor`, `recordingest.PreparedGeneration`",`insertRecordedGeneration()` — `go/internal/recordingest/postgres_ingest.go`,Immutable recorder receipt JSON + receipt bytes
fi.recorded_generation,receipt_sha256,bytea,No,UQ(receipt_sha256),`NOT NULL CHECK (octet_length(receipt_sha256) = 32)`,—,recordingest.PreparedGeneration.ReceiptSHA256,SHA-256 of immutable receipt bytes; hex → 32-byte `bytea`,Derived,"`generationrecorder.RecordedReceipt`, `transportgeneration.Descriptor`, `recordingest.PreparedGeneration`",`insertRecordedGeneration()` — `go/internal/recordingest/postgres_ingest.go`,Immutable recorder receipt JSON + receipt bytes
fi.recorded_generation,ingested_at,timestamptz,No,—,`NOT NULL DEFAULT clock_timestamp()`,—,—,`DEFAULT clock_timestamp()`,PostgreSQL-generated,"`generationrecorder.RecordedReceipt`, `transportgeneration.Descriptor`, `recordingest.PreparedGeneration`",`insertRecordedGeneration()` — `go/internal/recordingest/postgres_ingest.go`,Immutable recorder receipt JSON + receipt bytes
fi.recorded_generation,ingest_version,text,No,—,`NOT NULL`,—,recordingest.IngestVersion,Runtime ingest state; not source JSON,Runtime state,"`generationrecorder.RecordedReceipt`, `transportgeneration.Descriptor`, `recordingest.PreparedGeneration`",`insertRecordedGeneration()` — `go/internal/recordingest/postgres_ingest.go`,Immutable recorder receipt JSON + receipt bytes
fi.source_batch,source_batch_id,bigint,No,PK,`GENERATED ALWAYS AS IDENTITY`,—,—,`GENERATED ALWAYS AS IDENTITY`; returned to Go for child source records,PostgreSQL-generated,"`recordingest.PreparedBatch`, `spool.Manifest`, `spool.CollectorIdentity`",`insertSourceBatch()` — `go/internal/recordingest/postgres_ingest.go`,Validated batch manifest JSON + prepared manifest artifact metadata
fi.source_batch,recorded_generation_id,bigint,No,"UQ(recorded_generation_id, batch_id), UQ(recorded_generation_id, manifest_artifact_name), UQ(recorded_generation_id, data_artifact_name), FK → fi.recorded_generation.recorded_generation_id",`NOT NULL`,—,recordedGenerationID,returned by `insertRecordedGeneration()`,Derived,"`recordingest.PreparedBatch`, `spool.Manifest`, `spool.CollectorIdentity`",`insertSourceBatch()` — `go/internal/recordingest/postgres_ingest.go`,Validated batch manifest JSON + prepared manifest artifact metadata
fi.source_batch,manifest_artifact_name,text,No,"UQ(recorded_generation_id, manifest_artifact_name)",`NOT NULL`,—,recordingest.PreparedBatch.ManifestArtifactName,derived from validated recorder artifact inventory; not a manifest JSON field,Derived,"`recordingest.PreparedBatch`, `spool.Manifest`, `spool.CollectorIdentity`",`insertSourceBatch()` — `go/internal/recordingest/postgres_ingest.go`,Validated batch manifest JSON + prepared manifest artifact metadata
fi.source_batch,data_artifact_name,text,No,"UQ(recorded_generation_id, data_artifact_name)",`NOT NULL`,—,recordingest.PreparedBatch.DataArtifactName,derived from validated recorder artifact inventory; not a manifest JSON field,Derived,"`recordingest.PreparedBatch`, `spool.Manifest`, `spool.CollectorIdentity`",`insertSourceBatch()` — `go/internal/recordingest/postgres_ingest.go`,Validated batch manifest JSON + prepared manifest artifact metadata
fi.source_batch,manifest_version,text,No,—,`NOT NULL`,manifest.version,spool.Manifest.Version,Direct,Direct JSON,"`recordingest.PreparedBatch`, `spool.Manifest`, `spool.CollectorIdentity`",`insertSourceBatch()` — `go/internal/recordingest/postgres_ingest.go`,Validated batch manifest JSON + prepared manifest artifact metadata
fi.source_batch,batch_id,text,No,"UQ(recorded_generation_id, batch_id)",`NOT NULL`,manifest.batch_id,spool.Manifest.BatchID,Direct,Direct JSON,"`recordingest.PreparedBatch`, `spool.Manifest`, `spool.CollectorIdentity`",`insertSourceBatch()` — `go/internal/recordingest/postgres_ingest.go`,Validated batch manifest JSON + prepared manifest artifact metadata
fi.source_batch,target_batch_size,integer,No,—,`NOT NULL CHECK (target_batch_size > 0)`,manifest.target_batch_size,spool.Manifest.TargetBatchSize,Direct,Direct JSON,"`recordingest.PreparedBatch`, `spool.Manifest`, `spool.CollectorIdentity`",`insertSourceBatch()` — `go/internal/recordingest/postgres_ingest.go`,Validated batch manifest JSON + prepared manifest artifact metadata
fi.source_batch,record_count,bigint,No,—,`NOT NULL CHECK (record_count > 0)`,manifest.record_count,spool.Manifest.RecordCount,`int` → `int64`,Direct JSON,"`recordingest.PreparedBatch`, `spool.Manifest`, `spool.CollectorIdentity`",`insertSourceBatch()` — `go/internal/recordingest/postgres_ingest.go`,Validated batch manifest JSON + prepared manifest artifact metadata
fi.source_batch,data_bytes,bigint,No,—,`NOT NULL CHECK (data_bytes > 0)`,manifest.data_bytes,spool.Manifest.DataBytes,Direct,Direct JSON,"`recordingest.PreparedBatch`, `spool.Manifest`, `spool.CollectorIdentity`",`insertSourceBatch()` — `go/internal/recordingest/postgres_ingest.go`,Validated batch manifest JSON + prepared manifest artifact metadata
fi.source_batch,data_sha256,bytea,No,—,`NOT NULL CHECK (octet_length(data_sha256) = 32)`,manifest.data_sha256,spool.Manifest.DataSHA256,hex text → 32-byte `bytea`,Direct JSON,"`recordingest.PreparedBatch`, `spool.Manifest`, `spool.CollectorIdentity`",`insertSourceBatch()` — `go/internal/recordingest/postgres_ingest.go`,Validated batch manifest JSON + prepared manifest artifact metadata
fi.source_batch,data_file,text,No,—,`NOT NULL`,manifest.data_file,spool.Manifest.DataFile,Direct,Direct JSON,"`recordingest.PreparedBatch`, `spool.Manifest`, `spool.CollectorIdentity`",`insertSourceBatch()` — `go/internal/recordingest/postgres_ingest.go`,Validated batch manifest JSON + prepared manifest artifact metadata
fi.source_batch,collector_executable_path,text,No,—,`NOT NULL`,manifest.collector.executable_path,spool.Manifest.Collector.ExecutablePath,Direct,Direct JSON,"`recordingest.PreparedBatch`, `spool.Manifest`, `spool.CollectorIdentity`",`insertSourceBatch()` — `go/internal/recordingest/postgres_ingest.go`,Validated batch manifest JSON + prepared manifest artifact metadata
fi.source_batch,collector_executable_sha256,bytea,No,—,`NOT NULL CHECK (octet_length(collector_executable_sha256) = 32)`,manifest.collector.executable_sha256,spool.Manifest.Collector.ExecutableSHA256,hex text → 32-byte `bytea`,Direct JSON,"`recordingest.PreparedBatch`, `spool.Manifest`, `spool.CollectorIdentity`",`insertSourceBatch()` — `go/internal/recordingest/postgres_ingest.go`,Validated batch manifest JSON + prepared manifest artifact metadata
fi.source_batch,created_at,timestamptz,No,—,`NOT NULL`,manifest.created_at,spool.Manifest.CreatedAt,RFC3339 text → `timestamptz`,Direct JSON,"`recordingest.PreparedBatch`, `spool.Manifest`, `spool.CollectorIdentity`",`insertSourceBatch()` — `go/internal/recordingest/postgres_ingest.go`,Validated batch manifest JSON + prepared manifest artifact metadata
fi.source_batch,completed_at,timestamptz,No,—,`NOT NULL`,manifest.completed_at,spool.Manifest.CompletedAt,RFC3339 text → `timestamptz`,Direct JSON,"`recordingest.PreparedBatch`, `spool.Manifest`, `spool.CollectorIdentity`",`insertSourceBatch()` — `go/internal/recordingest/postgres_ingest.go`,Validated batch manifest JSON + prepared manifest artifact metadata
fi.source_batch,manifest_bytes,bigint,No,—,`NOT NULL CHECK (manifest_bytes > 0)`,—,recordingest.PreparedBatch.ManifestBytes,measured from immutable manifest bytes,Derived,"`recordingest.PreparedBatch`, `spool.Manifest`, `spool.CollectorIdentity`",`insertSourceBatch()` — `go/internal/recordingest/postgres_ingest.go`,Validated batch manifest JSON + prepared manifest artifact metadata
fi.source_batch,manifest_sha256,bytea,No,—,`NOT NULL CHECK (octet_length(manifest_sha256) = 32)`,—,recordingest.PreparedBatch.ManifestSHA256,SHA-256 of immutable manifest bytes; hex → 32-byte `bytea`,Derived,"`recordingest.PreparedBatch`, `spool.Manifest`, `spool.CollectorIdentity`",`insertSourceBatch()` — `go/internal/recordingest/postgres_ingest.go`,Validated batch manifest JSON + prepared manifest artifact metadata
fi.source_batch,ingested_at,timestamptz,No,—,`NOT NULL DEFAULT clock_timestamp()`,—,—,`DEFAULT clock_timestamp()`,PostgreSQL-generated,"`recordingest.PreparedBatch`, `spool.Manifest`, `spool.CollectorIdentity`",`insertSourceBatch()` — `go/internal/recordingest/postgres_ingest.go`,Validated batch manifest JSON + prepared manifest artifact metadata
fi.source_record,source_record_id,bigint,No,PK,`GENERATED ALWAYS AS IDENTITY`,—,—,`GENERATED ALWAYS AS IDENTITY`; returned to Go and used as projection PK/FK,PostgreSQL-generated,"`spool.Record`, `recordingest.SourceRecord`",`ingestSourceBatch()` — `go/internal/recordingest/postgres_ingest.go`,Canonical source JSONL record envelope + exact raw record bytes
fi.source_record,source_batch_id,bigint,No,"UQ(source_batch_id, record_ordinal), FK → fi.source_batch.source_batch_id",`NOT NULL`,—,sourceBatchID,returned by `insertSourceBatch()`,Derived,"`spool.Record`, `recordingest.SourceRecord`",`ingestSourceBatch()` — `go/internal/recordingest/postgres_ingest.go`,Canonical source JSONL record envelope + exact raw record bytes
fi.source_record,record_ordinal,bigint,No,"UQ(source_batch_id, record_ordinal)",`NOT NULL CHECK (record_ordinal > 0)`,—,ordinal,incremented while reading canonical batch JSONL,Derived,"`spool.Record`, `recordingest.SourceRecord`",`ingestSourceBatch()` — `go/internal/recordingest/postgres_ingest.go`,Canonical source JSONL record envelope + exact raw record bytes
fi.source_record,version,text,No,—,`NOT NULL`,record.version,spool.Record.Version,Direct,Direct JSON,"`spool.Record`, `recordingest.SourceRecord`",`ingestSourceBatch()` — `go/internal/recordingest/postgres_ingest.go`,Canonical source JSONL record envelope + exact raw record bytes
fi.source_record,record_kind,text,No,—,`NOT NULL`,record.record_kind,spool.Record.RecordKind,Direct,Direct JSON,"`spool.Record`, `recordingest.SourceRecord`",`ingestSourceBatch()` — `go/internal/recordingest/postgres_ingest.go`,Canonical source JSONL record envelope + exact raw record bytes
fi.source_record,scope_id,text,No,—,`NOT NULL`,record.scope_id,spool.Record.ScopeID,Direct,Direct JSON,"`spool.Record`, `recordingest.SourceRecord`",`ingestSourceBatch()` — `go/internal/recordingest/postgres_ingest.go`,Canonical source JSONL record envelope + exact raw record bytes
fi.source_record,written_at,timestamptz,No,—,`NOT NULL`,record.written_at,recordingest.SourceRecord.WrittenAtUTC,strict parsed timestamp,Direct JSON,"`spool.Record`, `recordingest.SourceRecord`",`ingestSourceBatch()` — `go/internal/recordingest/postgres_ingest.go`,Canonical source JSONL record envelope + exact raw record bytes
fi.source_record,record_bytes,integer,No,—,`NOT NULL CHECK (record_bytes > 0)`,—,recordingest.SourceRecord.RecordBytes,measured from exact source record bytes,Derived,"`spool.Record`, `recordingest.SourceRecord`",`ingestSourceBatch()` — `go/internal/recordingest/postgres_ingest.go`,Canonical source JSONL record envelope + exact raw record bytes
fi.source_record,record_sha256,bytea,No,—,`NOT NULL CHECK (octet_length(record_sha256) = 32)`,—,recordingest.SourceRecord.RecordSHA256,SHA-256 over exact raw record bytes; hex → 32-byte `bytea`,Derived,"`spool.Record`, `recordingest.SourceRecord`",`ingestSourceBatch()` — `go/internal/recordingest/postgres_ingest.go`,Canonical source JSONL record envelope + exact raw record bytes
fi.source_record,ingested_at,timestamptz,No,—,`NOT NULL DEFAULT clock_timestamp()`,—,—,`DEFAULT clock_timestamp()`,PostgreSQL-generated,"`spool.Record`, `recordingest.SourceRecord`",`ingestSourceBatch()` — `go/internal/recordingest/postgres_ingest.go`,Canonical source JSONL record envelope + exact raw record bytes
fi.source_record,ingest_version,text,No,—,`NOT NULL`,—,recordingest.IngestVersion,Runtime ingest state; not source JSON,Runtime state,"`spool.Record`, `recordingest.SourceRecord`",`ingestSourceBatch()` — `go/internal/recordingest/postgres_ingest.go`,Canonical source JSONL record envelope + exact raw record bytes
fi.ingest_journal,ingest_journal_id,bigint,No,PK,`GENERATED ALWAYS AS IDENTITY`,—,—,`GENERATED ALWAYS AS IDENTITY`,PostgreSQL-generated,"`recordingest.JournalEvent`, `recordingest.IngestResult`",`writeJournalEvent()` / accepted transaction insert — `journal.go` and `postgres_ingest.go`,Ingest-worker runtime state; not collector/recorder source JSON
fi.ingest_journal,attempt_id,text,No,"UQ(attempt_id, event_sequence)",`NOT NULL`,—,JournalEvent.AttemptID / IngestResult.AttemptID,Runtime ingest state; not source JSON,Runtime state,"`recordingest.JournalEvent`, `recordingest.IngestResult`",`writeJournalEvent()` / accepted transaction insert — `journal.go` and `postgres_ingest.go`,Ingest-worker runtime state; not collector/recorder source JSON
fi.ingest_journal,event_sequence,integer,No,"UQ(attempt_id, event_sequence)",`NOT NULL CHECK (event_sequence > 0)`,—,JournalEvent.EventSequence,sequence 1 = attempt start; terminal normally 2,Runtime state,"`recordingest.JournalEvent`, `recordingest.IngestResult`",`writeJournalEvent()` / accepted transaction insert — `journal.go` and `postgres_ingest.go`,Ingest-worker runtime state; not collector/recorder source JSON
fi.ingest_journal,occurred_at,timestamptz,No,—,`NOT NULL DEFAULT clock_timestamp()`,—,—,`DEFAULT clock_timestamp()`,PostgreSQL-generated,"`recordingest.JournalEvent`, `recordingest.IngestResult`",`writeJournalEvent()` / accepted transaction insert — `journal.go` and `postgres_ingest.go`,Ingest-worker runtime state; not collector/recorder source JSON
fi.ingest_journal,source_id,text,Yes,—,`—`,—,JournalEvent.SourceID / IngestResult.SourceID,Runtime ingest state; not source JSON,Runtime state,"`recordingest.JournalEvent`, `recordingest.IngestResult`",`writeJournalEvent()` / accepted transaction insert — `journal.go` and `postgres_ingest.go`,Ingest-worker runtime state; not collector/recorder source JSON
fi.ingest_journal,generation_id,text,Yes,—,`—`,—,JournalEvent.GenerationID / IngestResult.GenerationID,Runtime ingest state; not source JSON,Runtime state,"`recordingest.JournalEvent`, `recordingest.IngestResult`",`writeJournalEvent()` / accepted transaction insert — `journal.go` and `postgres_ingest.go`,Ingest-worker runtime state; not collector/recorder source JSON
fi.ingest_journal,transfer_sha256,bytea,Yes,—,`CHECK (transfer_sha256 IS NULL OR octet_length(transfer_sha256) = 32)`,—,JournalEvent.TransferSHA256 / IngestResult.TransferSHA256,hex text → optional 32-byte `bytea`,Runtime state,"`recordingest.JournalEvent`, `recordingest.IngestResult`",`writeJournalEvent()` / accepted transaction insert — `journal.go` and `postgres_ingest.go`,Ingest-worker runtime state; not collector/recorder source JSON
fi.ingest_journal,outcome,text,No,—,"`NOT NULL CHECK (outcome IN ('Accepted','AlreadyAccepted','Rejected','Failed','Incomplete','Conflict'))`",—,JournalEvent.Outcome / IngestResult.Outcome,Runtime ingest state; not source JSON,Runtime state,"`recordingest.JournalEvent`, `recordingest.IngestResult`",`writeJournalEvent()` / accepted transaction insert — `journal.go` and `postgres_ingest.go`,Ingest-worker runtime state; not collector/recorder source JSON
fi.ingest_journal,stage,text,No,—,`NOT NULL`,—,JournalEvent.Stage / fixed transaction stage,Runtime ingest state; not source JSON,Runtime state,"`recordingest.JournalEvent`, `recordingest.IngestResult`",`writeJournalEvent()` / accepted transaction insert — `journal.go` and `postgres_ingest.go`,Ingest-worker runtime state; not collector/recorder source JSON
fi.ingest_journal,reason_code,text,Yes,—,`—`,—,JournalEvent.ReasonCode,Runtime ingest state; not source JSON,Runtime state,"`recordingest.JournalEvent`, `recordingest.IngestResult`",`writeJournalEvent()` / accepted transaction insert — `journal.go` and `postgres_ingest.go`,Ingest-worker runtime state; not collector/recorder source JSON
fi.ingest_journal,detail,text,Yes,—,`—`,—,JournalEvent.Detail,Runtime ingest state; not source JSON,Runtime state,"`recordingest.JournalEvent`, `recordingest.IngestResult`",`writeJournalEvent()` / accepted transaction insert — `journal.go` and `postgres_ingest.go`,Ingest-worker runtime state; not collector/recorder source JSON
fi.ingest_journal,records_seen,bigint,Yes,—,`CHECK (records_seen IS NULL OR records_seen >= 0)`,—,JournalEvent.RecordsSeen / IngestResult.RecordsSeen,Runtime ingest state; not source JSON,Runtime state,"`recordingest.JournalEvent`, `recordingest.IngestResult`",`writeJournalEvent()` / accepted transaction insert — `journal.go` and `postgres_ingest.go`,Ingest-worker runtime state; not collector/recorder source JSON
fi.ingest_journal,records_committed,bigint,Yes,—,`CHECK (records_committed IS NULL OR records_committed >= 0)`,—,JournalEvent.RecordsCommitted / IngestResult.RecordsCommitted,Runtime ingest state; not source JSON,Runtime state,"`recordingest.JournalEvent`, `recordingest.IngestResult`",`writeJournalEvent()` / accepted transaction insert — `journal.go` and `postgres_ingest.go`,Ingest-worker runtime state; not collector/recorder source JSON
fi.ingest_journal,ingest_version,text,No,—,`NOT NULL`,—,recordingest.IngestVersion,Runtime ingest state; not source JSON,Runtime state,"`recordingest.JournalEvent`, `recordingest.IngestResult`",`writeJournalEvent()` / accepted transaction insert — `journal.go` and `postgres_ingest.go`,Ingest-worker runtime state; not collector/recorder source JSON
fi.ntfs_volume,ntfs_volume_id,bigint,No,PK,`GENERATED ALWAYS AS IDENTITY`,—,—,`GENERATED ALWAYS AS IDENTITY`; helper returns/reuses ID,PostgreSQL-generated,`records.VolumeIdentity`,`ensureNTFSVolume()` — `go/internal/recordingest/projector_ntfs.go`,"Volume identity appearing in FileObservation, USNReadBoundary, or nested USN re-observation"
fi.ntfs_volume,source_id,text,No,"UQ(source_id, volume_guid, volume_serial)",`NOT NULL`,—,sourceID,"comes from recorder generation/source context, not payload",Derived,`records.VolumeIdentity`,`ensureNTFSVolume()` — `go/internal/recordingest/projector_ntfs.go`,"Volume identity appearing in FileObservation, USNReadBoundary, or nested USN re-observation"
fi.ntfs_volume,identity_method_version,text,No,—,`NOT NULL`,payload.…volume_identity.method_version,records.VolumeIdentity.MethodVersion,Direct,Direct JSON,`records.VolumeIdentity`,`ensureNTFSVolume()` — `go/internal/recordingest/projector_ntfs.go`,"Volume identity appearing in FileObservation, USNReadBoundary, or nested USN re-observation"
fi.ntfs_volume,volume_guid,text,No,"UQ(source_id, volume_guid, volume_serial)",`NOT NULL`,payload.…volume_identity.volume_guid,records.VolumeIdentity.VolumeGUID,Direct,Direct JSON,`records.VolumeIdentity`,`ensureNTFSVolume()` — `go/internal/recordingest/projector_ntfs.go`,"Volume identity appearing in FileObservation, USNReadBoundary, or nested USN re-observation"
fi.ntfs_volume,volume_serial,"numeric(20,0)",No,"UQ(source_id, volume_guid, volume_serial)",`NOT NULL CHECK (volume_serial >= 0)`,payload.…volume_identity.volume_serial,records.VolumeIdentity.VolumeSerial,"canonical decimal text → PostgreSQL `numeric(20,0)`",Direct JSON,`records.VolumeIdentity`,`ensureNTFSVolume()` — `go/internal/recordingest/projector_ntfs.go`,"Volume identity appearing in FileObservation, USNReadBoundary, or nested USN re-observation"
fi.ntfs_object,ntfs_object_id,bigint,No,PK,`GENERATED ALWAYS AS IDENTITY`,—,—,`GENERATED ALWAYS AS IDENTITY`; helper returns/reuses ID,PostgreSQL-generated,`records.NTFSObjectIdentity`,`ensureNTFSObject()` — `go/internal/recordingest/projector_ntfs.go`,NTFS object identity appearing as observed/root/parent/file-change identity
